symbol,o,h,l,c,v,typical_price,log_return_1min,return_1min,vwap,dollar_volume,gamma_exposure,call_gamma,put_gamma,net_gamma,call_volume,put_volume,call_put_ratio,avg_iv_calls,avg_iv_puts,iv_skew,total_call_delta,total_put_delta,net_delta,gamma_exposure_ratio,options_volume_ratio,iv_calls_zscore,iv_puts_zscore,delta_adj_call_volume,delta_adj_put_volume,gamma_pressure,return_5,log_return_5,return_10,log_return_10,return_20,log_return_20,return_50,log_return_50,return_100,log_return_100,price_momentum_5,price_momentum_20,price_position_10,price_position_20,price_position_50,price_acceleration,sma_10,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_upper,bb_middle,bb_lower,bb_width,bb_position,stoch_k,stoch_d,atr_14,williams_r,cci,volume_sma_5,volume_ratio_5,volume_sma_10,volume_ratio_10,volume_sma_20,volume_ratio_20,price_change_sign,obv,volume_roc_5,money_flow_raw,mfi_14,volatility_5,skewness_5,kurtosis_5,volatility_10,skewness_10,kurtosis_10,volatility_20,skewness_20,kurtosis_20,realized_vol_20,autocorr_5,hour,minute,day_of_week,month,quarter,is_market_open,is_morning_session,is_afternoon_session,is_power_hour,is_opening_hour,minutes_since_open,spread_proxy,price_impact,tick_direction,tick_momentum_5,tick_momentum_20,illiquidity,kyle_lambda,future_return_1,future_up_1,strong_up_1,strong_down_1,future_return_5,future_up_5,strong_up_5,strong_down_5,future_return_10,future_up_10,strong_up_10,strong_down_10,future_return_20,future_up_20,strong_up_20,strong_down_20,future_volatility_5,high_volatility_ahead,gamma_signal,flow_signal,iv_signal,combined_options_signal,options_signal_strength
AAPL,154.9,155.9,153.9,155.4,1049000,155.0666666666667,0.0,0.0,155.0666666666667,163014600.0,878318.7338276799,601154.1634895653,246050.8138792005,1178233.9829384899,23321,12026,1.5881364309093127,0.27216202987019933,0.2916029651089389,0.0772795306085493,11747.522542078332,-6116.819174576724,4310.783953032588,0.005387975885765324,0.03369590085795996,0.330679096634304,0.4316213742795466,273963973.2038088,73560867.3934597,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162664933.33333337,,,,,,,,,,,,,16,17,0,7,3,false,false,false,false,false,,0.012870012869184683,,,,,,,0.9652509652509651,1,1,0,0.9639639639639639,1,1,0,0.9620334620334619,1,1,0,0.9588159588159586,1,1,0,,0,-1,1,0,0.0,0.0
MSFT,304.9,305.9,303.9,305.4,1049000,305.06666666666666,0.0,0.0,305.06666666666666,320364600.0,1000538.9905300437,852415.8251825827,296238.3677974683,1051036.8604628365,12516,16294,1.4386426875220995,0.18190917258677047,0.23492080719584918,-0.016811740742769962,9651.410900127436,-5249.063771375765,160.68588957552083,0.0031231259337955682,0.02746425166825548,-1.1595461599963537,-0.422019671655935,120797058.82599498,85528245.09079672,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1049000.0,,320014933.3333333,,,,,,,,,,,,,16,17,0,7,3,false,false,false,false,false,,0.006548788473917853,0.14645476792071654,1.0,,,3.0129763564731095e-9,0.00014299332697807296,-0.4914865749836279,0,0,1,-0.49214145383104124,0,0,1,-0.49279633267845446,0,0,1,-0.4944335297969875,0,0,1,,0,0,0,1,0.3333333333333333,0.3333333333333333
AAPL,154.8,155.8,153.8,155.3,1048000,154.96666666666667,-0.0006437077789056425,-0.0006435006435006052,154.96666666666667,162754400.0,665039.6933982753,798814.554372519,220861.5885516053,977083.4204587524,28679,19779,2.2851487080977373,0.31848115904307567,0.21596509479229567,0.07549811695189472,9722.238342626568,-4668.196605820286,2016.0077454124398,0.0040861549266764845,0.046238549618320614,1.0954852006869447,-0.7074952914697107,278824073.4281873,92332260.66651943,1,,,,,,,,,,,,,,,,-1.456737540234593,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,1000.0,,162405066.66666666,,,,,,,,,,,,,16,18,0,7,3,false,false,false,false,false,,0.012878300063562246,0.14662230780150048,-1.0,,,3.0198051480244336e-9,0.00014322519083969325,0.9658725048293624,1,1,0,0.9645846748229234,1,1,0,-0.00321957501609782,0,0,0,0.9594333547971667,1,1,0,,0,-1,1,-1,-0.3333333333333333,0.3333333333333333
MSFT,304.8,305.8,303.8,305.3,1048000,304.9666666666667,-0.0003274930436997838,-0.00032743942370649926,304.9666666666667,319954400.0,1173426.071519562,688400.0174624124,237080.45735134752,1196831.7145937625,25250,13894,0.9553502100949238,0.1919821887734968,0.3498388062084589,0.01205784992300702,10884.385273400454,-7991.859242920383,5356.499001921375,0.0036674790892688523,0.037351145038167936,-0.993223856373672,1.3086611013723388,274830728.15336144,111038892.3211358,1,,,,,,,,,,,,,,,,1.4573590798129903,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1049000.0,,319605066.6666667,,,,,,,,,,,,,16,18,0,7,3,false,false,false,false,false,,0.006550933507810319,0.14652462471835495,1.0,,,3.0187817539917014e-9,0.00014312977099236504,-0.49164755977726826,0,0,1,-0.49230265312807076,0,0,1,-0.0016377333770062341,0,0,0,-0.4945954798558795,0,0,1,,0,1,0,0,0.3333333333333333,0.3333333333333333
AAPL,154.7,155.7,153.7,155.2,1047000,154.86666666666665,-0.0006441224055231319,-0.0006439150032196972,154.86666666666665,162494400.0,1101927.2698975485,687275.3790959303,331415.06083426066,1013559.2594700479,20435,12346,1.1404856775830854,0.2744918597687068,0.2852319080052722,-0.031170098287133238,8866.531467388266,-3594.7497755356467,611.7903248363805,0.006781324586555281,0.03130945558739255,0.3691484754763032,0.33567238345199774,181187570.5360792,44380780.728763096,1,,,,,,,,,,,,,,,,-1.4575200646066306,,,,,,,,,,362.3384423805396,215.32,68.3015576194604,1.3655809248905046,0.29553585581004194,,,,,,1048200.0,0.9988551803090918,,,,,-1.0,2000.0,,162145399.99999997,,,,,,,,,,,,,16,19,0,7,3,false,false,false,false,false,,0.012886597937314007,0.14669231129453236,-1.0,,,3.0256277125689764e-9,0.00014336198662846092,0.9664948453608249,1,1,0,0.9652061855670104,1,1,0,0.9632731958762888,1,1,0,0.9600515463917527,1,1,0,0.799131445408149,0,0,0,0,0.0,0.0
MSFT,304.7,305.7,303.7,305.2,1047000,304.8666666666666,-0.0003276003305303337,-0.00032754667540135785,304.8666666666666,319544400.0,914118.7250811092,527679.6460012911,209892.62998415402,946921.6061026474,16136,12204,2.3457865452094113,0.2164226952578909,0.16702823579595227,0.032771753719596425,6795.496561888838,-3571.244552965377,3609.580584517585,0.0028606939288596802,0.027067812798471824,-0.5896703164174716,-1.4444910770304555,109652132.52263829,43583468.52438946,1,0.9639639639639639,0.6749648614767548,,,,,,,,,0.9639639639639639,,,,,1.4581424051380931,,,,,,,,,,392.2984423805394,245.27999999999997,98.26155761946049,1.1987805151218653,0.7037839573822532,,,,,,1047800.0,0.9992364955144016,,,,,1.0,1049000.0,-0.0019065776930410339,319195399.99999994,,12.6721878320418,-0.6085792573537626,-3.333331174406677,,,,,,,,,16,19,0,7,3,false,false,false,false,false,,0.006553079947360646,0.14659458157348337,1.0,1.0,,3.0246026698037106e-9,0.00014326647564469778,-0.49180865006553076,0,0,1,-0.000982961992136322,0,0,0,-0.49311926605504586,0,0,1,-0.4947575360419397,0,0,1,0.7373881908941352,0,-1,1,0,0.0,0.0
AAPL,154.6,155.6,153.6,155.1,1046000,154.76666666666665,-0.0006445375666252353,-0.0006443298969072142,154.76666666666665,162234600.0,1202678.3477048033,703658.3410517846,231316.84039766694,987270.5458385447,22227,18982,2.468449342479649,0.2616383556879007,0.2971138136116541,0.07262664684985931,12190.38894750761,-5745.810500586642,4405.1309196703005,0.007413204998839972,0.03939674952198853,0.15691567760188718,0.5146155059966707,270955775.1362516,109066974.92213564,1,-0.49214145383104124,-0.6775523226020389,,,,,,,,,-0.49214145383104124,,,,,-1.4583034954263556,,,,,,,,,,362.23844238053965,215.21999999999997,68.20155761946029,1.3662154295484492,0.2955358558100422,,,,,,1047200.0,0.9988540870893716,,,,,-1.0,3000.0,-0.0028598665395614953,161885933.3333333,,12.67558991003104,0.6085808732095395,-3.333331172873909,,,,,,,,,16,20,0,7,3,false,false,false,false,false,,0.012894906511096395,0.14676241515100455,-1.0,-1.0,,3.031465852940931e-9,0.00014349904397705407,0.9671179883945844,1,1,0,-0.0012894906511926596,0,0,0,0.9638942617666024,1,1,0,-0.006447453255963853,0,0,0,0.7374242451790314,0,1,1,0,0.6666666666666666,0.6666666666666666
MSFT,304.6,305.6,303.6,305.1,1046000,304.7666666666667,-0.00032770768767787645,-0.00032765399737866296,304.7666666666667,319134600.0,1227544.0663247856,764599.4175963834,300766.662590812,1321376.2624631624,28631,10819,0.8899344595115969,0.25740700577248465,0.37852755415913253,-0.014768363393751309,7162.911423603193,-5990.683744758845,2740.0086455209043,0.003846477524921414,0.0377151051625239,0.0870490306790889,1.7407175669137986,205081316.96918303,64813207.43454594,1,0.9645846748229234,0.6752808615679826,,,,,,,,,0.9645846748229234,,,,,1.4589266384601152,,,,,,,,,,392.19844238053963,245.18,98.16155761946041,1.1992694540708317,0.7037839573822527,,,,,,1046800.0,0.9992357661444307,,,,,1.0,1049000.0,-0.001908396946564861,318785933.3333334,,12.678999176551349,-0.6085792552772579,-3.333331171333841,,,,,,,,,16,20,0,7,3,false,false,false,false,false,,0.006555227793950991,0.1466646387251878,1.0,1.0,,3.030439157629992e-9,0.00014340344168259903,-0.4919698459521469,0,0,1,-0.4926253687315634,0,0,1,-0.4932808915109801,0,0,1,-0.0032776138970829205,0,0,0,0.5959298448575338,0,1,0,0,0.3333333333333333,0.3333333333333333
AAPL,154.5,155.5,153.5,155.0,1045000,154.66666666666666,-0.000644953263246458,-0.0006447453255963298,154.66666666666666,161975000.0,921271.4346495613,747911.8813740128,399005.2390516285,517754.45917584957,24470,8978,0.9188197530112088,0.29394733749149554,0.172654469115695,0.027298291553502704,13284.93396139895,-3609.6553760780303,4708.645312663866,0.005687738445127713,0.032007655502392346,0.6903908732794608,-1.3597592341971907,325082334.03543234,32407485.966428556,1,-0.49230265312807076,-0.6778697828215855,,,,,,,,,-0.49230265312807076,,,,,-1.4590878343467313,,,,,,,,,,362.13844238053946,215.12000000000003,68.10155761946064,1.3668505241140305,0.2955358558100416,33.83705650459922,44.787560227770484,,,,1046200.0,0.9988529917797648,,,,,-1.0,4000.0,-0.002862595419847347,161626666.66666666,,12.682405194920852,0.6085808737087455,-3.333331169797798,,,,,,,,,16,21,0,7,3,false,false,false,false,false,,0.012903225805619147,0.14683261961096378,-1.0,-1.0,,3.0373196231032375e-9,0.00014363636363636228,0.967741935483871,1,1,0,0.9664516129032259,1,1,0,0.9645161290322581,1,1,0,-0.006451612903225823,0,0,0,0.6520334791905699,0,0,0,0,0.0,0.0
MSFT,304.5,305.5,303.5,305.0,1045000,304.6666666666667,-0.0003278151152124017,-0.00032776138970835866,304.6666666666667,318725000.0,962319.1396610218,517825.5256814281,235930.74529454898,1236066.5479930255,14448,9156,2.2214932908660723,0.31847304284009925,0.3020184021155822,0.041013171508582996,11418.865036387142,-5560.444137033652,2250.487848934944,0.003019277244210595,0.02258755980861244,1.0953511886342802,0.5884792792636625,164979762.04572144,50911426.51868012,1,0.9652061855670104,0.6755971688582934,,,,,,,,,0.9652061855670104,,0.9940944881237471,,,1.4597117814360179,230.2,,,,,,,,,392.0984423805396,245.08,98.06155761946042,1.1997587920233457,0.7037839573822529,66.68856767411302,55.73806395094175,,,,1045800.0,0.9992350353796041,1047000.0,0.9980897803247278,,,1.0,1049000.0,-0.0019102196752626144,318376666.6666667,,12.68581841640931,-0.6085792531962401,-3.333331168254437,,,,,,,,,16,21,0,7,3,false,false,false,false,false,,0.0065573770489653314,0.14673479641335485,1.0,1.0,,3.0362912714216676e-9,0.00014354066985645795,-0.0003278688524590567,0,0,0,-0.0009836065573770592,0,0,0,-0.49344262295081964,0,0,1,-0.003278688524590123,0,0,0,0.532849107022334,0,0,1,0,0.3333333333333333,0.3333333333333333
